dirs.module_id -> modules.id  [dirs_module_id_modules_fk]
dirs.restservice_id -> rest_services.id  [dirs_restservice_id_rest_services_fk]
division.created_by -> users.id  [division_created_by_users_fk]
doc_numerators.created_by -> users.id  [doc_numerators_created_by_users_fk]
doc_numerators.entity_id -> entities.id  [doc_numerators_entity_id_entities_fk]
doc_templates.created_by -> users.id  [doc_templates_created_by_users_fk]
doc_templates.detail_id -> details.id  [doc_templates_detail_id_details_fk]
domain_param_values.created_by -> users.id  [domain_param_values_created_by_users_fk]
domain_param_values.domain_id -> domains.id  [domain_param_values_domain_id_domains_fk]
domain_param_values.param_id -> params.id  [domain_param_values_param_id_params_fk]
domains.created_by -> users.id  [domains_created_by_users_fk]
eds_errors.user_id -> users.id  [eds_errors_user_id_users_fk]
eds_r_profile_type.created_by -> users.id  [eds_r_profile_type_created_by_users_fk]
email_inbox_logs.created_by -> users.id  [email_inbox_logs_created_by_users_fk]
email_inbox_logs.move_id -> acc_moves.id  [email_inbox_logs_move_id_acc_moves_fk]
email_inbox_logs.updated_by -> users.id  [email_inbox_logs_updated_by_users_fk]
email_logs.created_by -> users.id  [email_logs_created_by_users_fk]
email_logs.move_id -> acc_moves.id  [email_logs_move_id_acc_moves_fk]
email_logs.updated_by -> users.id  [email_logs_updated_by_users_fk]
email_plan.ch_id -> di_chs.id  [email_plan_ch_id_di_chs_fk]
emp_gph.company_id -> companies.id  [emp_gph_company_id_companies_fk]
